#id;level;org_code;org_name;parent_id;imp
74;2;9157;Research Facility;8;9999
75;2;7335;Agriculture Business;8;9999
76;2;7312;Rent-a-Car Facility;9;9999
77;2;9155;Car Wash;9;9999
78;2;9930;Rent-a-Car Parking;9;9999
79;2;7368;Motoring Organization Office;9;9999
80;2;7395;Rest Area;9;9999
81;2;7359;Weigh Station;9;9999
82;2;7369;Open Parking Area;9;9999
83;2;7358;Truck Stop;9;9999
84;2;9910;Automotive Dealer;9;9999
85;2;7313;Parking Garage;9;9999
86;2;7311;Petrol Station;9;9999
87;2;7375;Toll Gate;9;9999
88;2;7310;Repair Facility;9;9999
89;2;7309;Electric Vehicle Station;9;9999
90;2;9154;Prison/Correctional Facility;10;9999
91;2;7379;City Center;10;9
92;2;7301;Traffic Service Center;10;9999
93;2;7365;Embassy;10;9999
94;2;7322;Police Station;10;9
95;2;9388;Military Installation;10;9999
96;2;9151;Transport Authority/Vehicle Registration;10;9999
97;2;9152;Non Governmental Organization;10;9999
98;2;7372;School;10;9
99;2;7367;Government Office;10;9999
100;2;7377;College/University;10;9
101;2;9932;Public Amenity;10;9999
102;2;9150;Primary Resource/Utility;10;9999
103;2;7324;Post Office;10;9
104;2;7392;Fire Station/Brigade;10;9999
105;2;9363;Courthouse;10;9999
106;2;9389;Native Reservation;10;9999
107;2;9153;Welfare Organization;10;9999
108;2;9913;Library;10;9
109;2;7304;Holiday Rental;11;9999
110;2;7303;Residential Accommodation;11;9999
111;2;7360;Camping Ground;11;9999
112;2;7314;Hotel/Motel;11;9
113;2;7315;Restaurant;12;9999
114;2;9376;Café/Pub;12;9999
115;2;9359;Restaurant Area;12;9999
116;3;9663001;Unspecified;15;9999
117;3;7372006;Personal Service;15;9999
118;3;9663003;Personal Care Facility;15;9999
119;3;9663004;Blood Bank;15;9999
120;3;9663005;Ambulance Unit;15;9999
121;3;9373001;Unspecified;17;9999
122;3;9373002;General Practitioner;17;9999
123;3;9373003;Specialist;17;9999
124;3;7321001;Unspecified;18;9999
125;3;7321002;General;18;9999
126;3;7321003;Special;18;9999
127;3;7321004;Hospital of Chinese Medicine;18;9
128;3;7321005;Hospital for Women and Children;18;9
129;3;7374001;Unspecified;19;9999
130;3;7374002;Athletic;19;9999
131;3;7374003;Cricket Ground;19;9999
132;3;7374004;Soccer;19;9999
133;3;7374005;Horse Racing;19;9999
134;3;7374006;Multi-Purpose;19;9999
135;3;7374007;Rugby Ground;19;9999
136;3;7374008;Ice Hockey;19;9999
137;3;7374009;Baseball;19;9999
138;3;7374010;Football;19;9999
139;3;7374011;Motor Sport;19;9999
140;3;7374012;Basketball;19;9999
141;3;7374013;Race Track;19;9999
142;3;7374014;Netball;19;9999
143;3;7320001;Unspecified;25;9999
144;3;7320002;Fitness Club & Center;25;9999
145;3;7320003;Horse Riding;25;9999
146;3;7320004;Sports Center;25;9
147;3;7320005;Thematic Sport;25;9999
148;3;7320006;Squash Court;25;9999
149;3;7380001;Unspecified;27;9999
150;3;7380002;International;27;9999
151;3;7380003;National;27;9999
152;3;7380004;(Sub) Urban;27;9999
153;3;7380005;Metro;27;9999
154;3;7380006;Railway Siding;27;9999
155;3;7383001;Unspecified;28;9999
156;3;7383002;Public Authority;28;9999
157;3;7383003;Private Authority;28;9999
158;3;7383004;Military Authority;28;9999
159;3;7383005;Airfield;28;9
160;3;7389001;Unspecified;29;9999
161;3;7389002;Airline Access;29;9999
162;3;7389003;Station Access;29;9999
163;3;7389004;Security Gate;29;9999
164;3;9942001;Unspecified;33;9999
165;3;9942002;Bus Stop;33;9999
166;3;9942003;Taxi Stand;33;9999
167;3;9942004;Tram Stop;33;9999
168;3;9942005;Coach Stop;33;9999
169;3;7339001;Unspecified;37;9999
170;3;7339002;Church;37;9999
171;3;7339003;Mosque;37;9999
172;3;7339004;Synagogue;37;9999
173;3;7339005;Temple;37;9999
174;3;7339006;Gurudwara;37;9999
175;3;7339007;Ashram;37;9999
176;3;7339008;Pagoda;37;9999
177;3;7376001;Unspecified;40;9999
178;3;7376002;Building;40;9999
179;3;7376003;Monument;40;9999
180;3;7376004;Natural Attraction;40;9999
181;3;7376005;Observatory;40;9999
182;3;7376006;Planetarium;40;9999
183;3;7376007;Dam;40;9999
184;3;7376008;Tunnel;40;9999
185;3;7376009;Tower;40;9999
186;3;7376010;Bridge;40;9999
187;3;7376011;Mausoleum/Grave;40;9999
188;3;7376012;Arch;40;9999
189;3;7376013;Statue;40;9999
190;3;7376014;Water Hole;40;9999
191;3;8099001;Unspecified;41;9999
192;3;8099002;Mountain Peak;41;9999
193;3;8099003;Cave;41;9999
194;3;8099004;Ridge;41;9999
195;3;8099005;Dune;41;9999
196;3;8099006;Valley;41;9999
197;3;8099007;Plain/Flat;41;9999
198;3;8099008;Plateau;41;9999
199;3;8099009;Pan;41;9999
200;3;8099010;Well;41;9999
201;3;8099011;Oasis;41;9999
202;3;8099012;Rocks;41;9999
203;3;8099013;Reservoir;41;9999
204;3;8099014;Reef;41;9999
205;3;8099015;Rapids;41;9999
206;3;8099016;Bay;41;9999
207;3;8099017;Cove;41;9999
208;3;8099018;Harbor;41;9999
209;3;8099019;Lagoon;41;9999
210;3;8099020;Cape;41;9999
211;3;8099021;Mineral/Hot Springs;41;9999
212;3;8099022;Island;41;9999
213;3;8099023;Marsh/Swamp/Vlei;41;9999
214;3;8099024;River Crossing;41;9999
215;3;8099025;Hill;41;9999
216;3;8099026;Quarry;41;9999
217;3;8099027;Locale;41;9999
218;3;9361001;Unspecified;42;9999
219;3;9361002;Book Shops;42;9999
220;3;9361003;CD's, DVD & Videos;42;9999
221;3;9361004;Clothing & Accessories: Children;42;9999
222;3;9361005;Clothing & Accessories: Footwear & Shoe Repairs;42;9999
223;3;9361006;Clothing & Accessories: General;42;9999
224;3;9361007;Clothing & Accessories: Men;42;9999
225;3;9361008;Clothing & Accessories: Women;42;9999
226;3;9361009;Convenience Stores;42;9999
227;3;9361010;Dry cleaners;42;9999
228;3;9361011;Electrical, Office & IT: Camera's & Photography ;42;9999
229;3;9361012;Electrical, Office & IT: Computer & Computer Supplies;42;9999
230;3;9361013;Electrical, Office & IT: Consumer Electronics;42;9999
231;3;9361014;Electrical, Office & IT: Office Equipment;42;9999
232;3;9361015;Real Estate Agents;42;9999
233;3;9361016;Factory Outlet;42;9999
234;3;9361017;Florists;42;9999
235;3;9361018;Food & Drinks: Bakers;42;9999
236;3;9361019;Food & Drinks: Butchers;42;9999
237;3;9361020;Food & Drinks: Fishmongers;42;9999
238;3;9361021;Food & Drinks: Food markets;42;9999
239;3;9361022;Food & Drinks: Green Grocers;42;9999
240;3;9361023;Food & Drinks: Grocers;42;9999
241;3;9361024;Food & Drinks: Other Food Shops;42;9999
242;3;9361025;Food & Drinks: Wine & Spirits;42;9999
243;3;9361026;Gifts, Cards, Novelties & Souvenirs;42;9999
244;3;9361027;Hairdressers & Barbers;42;9999
245;3;9361028;House & Garden: Carpet/Floor Coverings;42;9999
246;3;9361029;House & Garden: Curtains/Textiles;42;9999
247;3;9361030;House & Garden: Do-It-Yourself Centers;42;9999
248;3;9361031;House & Garden: Furniture & Fittings;42;9999
249;3;9361032;House & Garden: Garden Centers & Services;42;9999
250;3;9361033;House & Garden: Kitchens & Bathrooms;42;9999
251;3;9361034;House & Garden: Lighting;42;9999
252;3;9361035;House & Garden: Painting & Decorating;42;9999
253;3;9361036;Jewelry, Clocks & Watches;42;9999
254;3;9361037;Newsagents & Tobacconists;42;9999
255;3;9361038;Opticians;42;9999
256;3;9361039;Sports Equipment & Clothing;42;9999
257;3;9361040;Toys & Games;42;9999
258;3;9361041;Travel Agents;42;9999
259;3;9361042;Construction Material & Equipment;42;9999
260;3;9361043;Medical Supplies & Equipment;42;9999
261;3;9361044;CD/Video Rental;42;9999
262;3;9361045;Laundry;42;9999
263;3;9361046;Photo Lab/Development;42;9999
264;3;9361047;Photocopy;42;9999
265;3;9361048;Animal Services;42;9999
266;3;9361049;Antique/Art;42;9999
267;3;9361050;Beauty Supplies;42;9999
268;3;9361051;Drug Store;42;9999
269;3;9361052;Electrical Appliance;42;9999
270;3;9361053;Hobby/Free Time;42;9999
271;3;9361054;Furniture/Home Furnishings;42;9999
272;3;9361055;Glassware/Ceramic;42;9999
273;3;9361056;Local Specialities;42;9999
274;3;9361057;Recycling Shop;42;9999
275;3;9361058;Bags & Leatherwear;42;9999
276;3;9361059;Musical Instruments;42;9999
277;3;9361060;Delicatessen;42;9999
278;3;9361061;Specialty Foods;42;9999
279;3;9361062;Shopping Service;42;9999
280;3;9361063;Retail Outlet;42;9999
281;3;9361064;Pet Supplies;42;9999
282;3;9361065;Marine Electronic Equipment;42;9999
283;3;9361066;Wholesale Clubs;42;9999
284;3;9361067;Beauty Salon;42;9999
285;3;9361068;Nail Salon;42;9999
286;3;9361069;Hardware;42;9999
287;3;9361070;Pawn Shop;42;9999
288;3;9361071;Lottery Shop;42;9999
289;3;9361072;Betting Station;42;9999
290;3;9361073;Agricultural Supplies;42;9999
291;3;9361074;Stamp Shop;42;9999
292;3;9361075;Mobile Phone Shop;42;9999
293;3;9361076;Drive Through Bottle Shop;42;9999
294;3;9361077;Tailor Shop;42;9999
295;3;9361078;Security Products;42;9999
296;3;9361079;Clothing & Accessories: Specialty;42;9999
297;3;9361080;House & Garden: Glass & Windows;42;9999
298;3;9361081;Variety Store;42;9999
299;3;9361082;Christmas/Holiday Store;42;9999
300;3;9361083;Boating Equipment & Accessories;42;9999
301;3;7332001;Unspecified;43;9999
302;3;7332002;Informal;43;9999
303;3;7332003;Public;43;9999
304;3;7332004;Farmers;43;9999
305;3;7332005;Supermarkets & Hypermarkets;43;9999
306;3;9379001;Unspecified;46;9999
307;3;9379002;Discotheque;46;9999
308;3;9379003;Private Club;46;9999
309;3;9379004;Bar;46;9999
310;3;9379006;Cocktail Bar;46;9999
311;3;9379007;Wine Bar;46;9999
312;3;9379008;Jazz Club;46;9999
313;3;9379009;Comedy Club;46;9999
314;3;9379010;Karaoke Club;46;9999
315;3;7347001;Unspecified;47;9999
316;3;7347002;Marina;47;9999
317;3;7347003;Yacht Basin;47;9999
318;3;9902001;Unspecified;48;9999
319;3;9902002;Amusement Arcade;48;9999
320;3;9902003;Amusement Park;48;9999
321;3;9902004;Amusement Place;48;9999
322;3;9937001;Unspecified;49;9999
323;3;9937002;Beach Club;49;9999
324;3;9937003;Hockey Club;49;9999
325;3;9378001;Unspecified;50;9999
326;3;9378002;Bowling;50;9999
327;3;9378003;Dance Studio & School;50;9999
328;3;9378004;Flying Club;50;9999
329;3;9378005;Sauna, Solarium & Massage;50;9999
330;3;9378006;Snooker, Pool & Billiard;50;9999
331;3;7318001;Unspecified;51;9999
332;3;7318002;Concert Hall;51;9
333;3;7318003;Music Center;51;9
334;3;7318004;Opera;51;9
335;3;7318005;Theater;51;9
336;3;7318006;Cabaret;51;9999
337;3;7318007;Amphitheater;51;9999
338;3;7318008;Dinner Theater;51;9999
339;3;7342001;Unspecified;52;9999
340;3;7342002;Cinema;52;9999
341;3;7342003;Drive-In Cinema;52;9999
342;3;9362001;Unspecified;54;9999
343;3;9362002;Battlefield;54;9999
344;3;9362003;Cemetery;54;9999
345;3;9362004;Historic Site;54;9999
346;3;9362005;Historical Park;54;9999
347;3;9362006;Lakeshore;54;9999
348;3;9362007;Memorial;54;9999
349;3;9362008;Park;54;9999
350;3;9362009;Parkway;54;9999
351;3;9362010;Preserve;54;9999
352;3;9362011;Recreation Area;54;9999
353;3;9362013;Seashore;54;9999
354;3;9362014;Wilderness Area;54;9999
355;3;9362015;Forest Area;54;9999
356;3;9362016;Fishing & Hunting Area;54;9999
357;3;9362017;Fairground;54;9999
358;3;9362025;Other Winter Sport;54;9999
359;3;9362026;Ski Resort;54;9999
360;3;9362030;Natural Attraction;54;9999
361;3;9362032;Boat Launching Ramp;54;9999
362;3;9362033;Picnic Area;54;9999
363;3;9362036;River Scenic Area;54;9999
364;3;9927001;Unspecified;57;9999
365;3;9927002;Arboreta & Botanical Gardens;57;9999
366;3;9927003;Zoo;57;9999
367;3;9927004;Aquatic Zoo & Marine Park;57;9999
368;3;9927005;Wildlife Park;57;9999
369;3;7302001;Unspecified;58;9999
370;3;7302002;Mountain Bike;58;9999
371;3;7302003;Adventure Vehicle;58;9999
372;3;7302004;Hiking;58;9999
373;3;7302005;Horse Riding;58;9999
374;3;7302006;Rock Climbing;58;9999
375;3;9352001;Unspecified;64;9999
376;3;9352002;Service;64;9999
377;3;9352003;Advertising/Marketing;64;9999
378;3;9352004;Computer & Data Services;64;9999
379;3;9352005;Computer Software;64;9999
380;3;9352006;Diversified Finanacials;64;9999
381;3;9352007;Insurance;64;9999
382;3;9352008;Mail/Package/Freight Delivery;64;9999
383;3;9352009;Real Estate;64;9999
384;3;9352010;Savings Institution;64;9999
385;3;9352011;Manufacturing;64;9999
386;3;9352012;Agricultural Technology;64;9999
387;3;9352013;Automobile;64;9999
388;3;9352014;Chemicals;64;9999
389;3;9352015;Electronics;64;9999
390;3;9352016;Mechanical Engineering;64;9999
391;3;9352017;Public Health Technologies;64;9999
392;3;9352018;Pharmaceuticals;64;9999
393;3;9352019;Publishing Technologies;64;9999
394;3;9352020;Tele Communications;64;9999
395;3;9352021;OEM;64;9999
396;3;9352022;Tax Services;64;9999
397;3;9352023;Legal Services;64;9999
398;3;9352024;Transport;64;9999
399;3;9352025;Bus Charter & Rentals;64;9999
400;3;9352026;Taxi, Limousine & Shuttle Service;64;9999
401;3;9352027;Bus Lines;64;9999
402;3;9352028;School Bus;64;9999
403;3;9352029;Cleaning Services;64;9999
404;3;9352030;Oil & Natural Gas;64;9999
405;3;9352031;Mining;64;9999
406;3;9352032;Construction;64;9999
407;3;9352033;Moving & Storage;64;9999
408;3;9352034;Airline;64;9999
409;3;9352035;Bridge & Tunnel Operations;64;9999
410;3;9352036;Funeral Service & Mortuaries;64;9999
411;3;9352037;Investment Advisors;64;9999
412;3;9352038;Equipment Rental;64;9999
413;3;9352039;Business Services;64;9999
414;3;9352040;Cable & Telephone;64;9999
415;3;9352041;Automobile Manufacturing;64;9999
416;3;9352042;Import/Export and Distribution;64;9999
417;3;9352043;Catering;64;9999
418;3;9352044;Home Appliance Repair;64;9999
419;3;9352045;Animal Shelter;64;9999
420;3;9352046;Wedding Services;64;9999
421;3;9160001;Unspecified;70;9999
422;3;9160002;Stock Exchange;70;9999
423;3;9160003;Gold Exchange;70;9999
424;3;9160004;Currency Exchange;70;9999
425;3;7335001;Unspecified;75;9999
426;3;7335002;Horticulture;75;9999
427;3;7335003;Primary Producer;75;9999
428;3;7335004;Farm;75;9999
429;3;9155001;Unspecified;77;9999
430;3;9155002;Car Wash;77;9999
431;3;9155003;Truck Wash;77;9999
432;3;7359001;Unspecified;81;9999
433;3;7359002;Weigh Station;81;9999
434;3;7359003;Weigh Scales;81;9999
435;3;9910001;Unspecified;84;9999
436;3;9910002;Car;84;9999
437;3;9910003;Motorcycle;84;9999
438;3;9910004;Boat;84;9999
439;3;9910005;Recreational Vehicles;84;9999
440;3;9910006;Truck;84;9999
441;3;9910007;Van;84;9999
442;3;9910008;Bus;84;9999
443;3;9910009;ATV/Snowmobile;84;9999
444;3;7310001;Unspecified;88;9999
445;3;7310002;Bodyshops;88;9999
446;3;7310003;Car Glass Replacement Shops;88;9999
447;3;7310004;General Car Repair & Servicing;88;9999
448;3;7310005;Other Repair Shops;88;9999
449;3;7310006;Sale & Installation of Car Accessories;88;9999
450;3;7310007;Tyre(Tire) Services;88;9999
451;3;7310008;Motorcycle Repair;88;9999
452;3;7310009;Truck Repair and Service;88;9999
453;3;7301001;Unspecified;92;9999
454;3;7301002;Traffic Control Department;92;9999
455;3;7322001;Unspecified;94;9999
456;3;7322002;Order 9 Area;94;9999
457;3;7322003;Order 8 Area;94;9999
458;3;7322004;Order 1 Area;94;9999
459;3;7372001;Unspecified;98;9999
460;3;7372002;School;98;9999
461;3;7372003;Child Care Facility;98;9999
462;3;7372004;Pre School;98;9999
463;3;7372005;Primary School;98;9999
464;3;7372006;High School;98;9
465;3;7372007;Senior High School;98;9
466;3;7372008;Vocational Training;98;9999
467;3;7372009;Technical School;98;9999
468;3;7372010;Language School;98;9999
469;3;7372011;Sport School;98;9999
470;3;7372012;Art School;98;9999
471;3;7372013;Special School;98;9999
472;3;7372014;Middle School;98;9999
473;3;7372015;Culinary School;98;9999
474;3;7372016;Driving School;98;9999
475;3;7367001;Unspecified;99;9999
476;3;7367002;Order 9 Area;99;9999
477;3;7367003;Order 8 Area;99;9999
478;3;7367004;Order 7 Area;99;9999
479;3;7367005;Order 6 Area;99;9999
480;3;7367006;Order 5 Area;99;9999
481;3;7367007;Order 4 Area;99;9999
482;3;7367008;Order 3 Area;99;9999
483;3;7367009;Order 2 Area;99;9999
484;3;7367010;Order 1 Area;99;9999
485;3;7367011;National;99;9999
486;3;7367012;Supra National;99;9999
487;3;7377001;Unspecified;100;9999
488;3;7377002;College/University;100;9
489;3;7377003;Junior College/Community College;100;9999
490;3;9932001;Unspecified;101;9999
491;3;9932002;Passenger Transport Ticket Office;101;9999
492;3;9932003;Pedestrian Subway;101;9999
493;3;9932004;Public Call Box;101;9999
494;3;9932005;Toilet;101;9999
495;3;9932006;Road Rescue;101;9999
496;3;7324001;Unspecified;103;9999
497;3;7324002;General;103;9999
498;3;7324003;Local;103;9999
499;3;7304001;Unspecified;109;9999
500;3;7304002;Cottage;109;9999
501;3;7304003;Villa;109;9999
502;3;7304004;Bungalow;109;9999
503;3;7304005;Chalet;109;9999
504;3;7304006;Apartment;109;9999
505;3;7303001;Unspecified;110;9999
506;3;7303002;Retirement Community;110;9999
507;3;7303003;Flats/Apartment Complex;110;9999
508;3;7303004;Residential Estate;110;9999
509;3;7303005;Townhouse Complex;110;9999
510;3;7303006;Condominium Complex;110;9999
511;3;7360001;Unspecified;111;9999
512;3;7360002;Recreational;111;9999
513;3;7360003;Caravan Site;111;9999
514;3;7314001;Unspecified;112;9999
515;3;7314002;Bed & Breakfast & Guest Houses;112;9999
516;3;7314003;Hotel;112;9
517;3;7314004;Hostel;112;9999
518;3;7314005;Resort;112;9999
519;3;7314006;Motel;112;9999
520;3;7314007;Cabins & Lodges;112;9999
521;3;7314008;Rest Camps;112;9999
522;3;7315001;Unspecified;113;9999
523;3;7315002;African;113;9999
524;3;7315003;American;113;9999
525;3;7315004;Austrian;113;9999
526;3;7315005;Barbecue;113;9999
527;3;7315006;Belgian;113;9999
528;3;7315007;Bistro;113;9999
529;3;7315008;British;113;9999
530;3;7315009;Californian;113;9999
531;3;7315010;Canadian;113;9999
532;3;7315011;Caribbean;113;9999
533;3;7315012;Chinese;113;9999
534;3;7315013;Crêperie;113;9999
535;3;7315014;Dutch;113;9999
536;3;7315015;Fast Food;113;9999
537;3;7315016;Filipino;113;9999
538;3;7315017;French;113;9999
539;3;7315018;German;113;9999
540;3;7315019;Greek;113;9999
541;3;7315020;Grill;113;9999
542;3;7315021;Hawaiian;113;9999
543;3;7315022;Hungarian;113;9999
544;3;7315023;Indian;113;9999
545;3;7315024;Indonesian;113;9999
546;3;7315025;Italian;113;9999
547;3;7315026;Japanese;113;9999
548;3;7315027;Jewish;113;9999
549;3;7315028;Korean;113;9999
550;3;7315029;Latin American;113;9999
551;3;7315030;Lebanese;113;9999
552;3;7315031;Maltese;113;9999
553;3;7315032;Mediterranean;113;9999
554;3;7315033;Mexican;113;9999
555;3;7315034;Middle Eastern;113;9999
556;3;7315035;Oriental;113;9999
557;3;7315036;Pizza;113;9999
558;3;7315037;Polish;113;9999
559;3;7315038;Portuguese;113;9999
560;3;7315039;Pub Food;113;9999
561;3;7315040;Russian;113;9999
562;3;7315041;Roadside;113;9999
563;3;7315042;Sandwich;113;9999
564;3;7315043;Seafood;113;9999
565;3;7315044;Spanish;113;9999
566;3;7315045;Steak House;113;9999
567;3;7315046;Surinamese;113;9999
568;3;7315047;Swiss;113;9999
569;3;7315048;Thai;113;9999
570;3;7315049;Turkish;113;9999
571;3;7315050;Vegetarian;113;9999
572;3;7315051;Vietnamese;113;9999
573;3;7315052;Hunan;113;9999
574;3;7315053;Shandong;113;9999
575;3;7315054;Guangdong;113;9999
576;3;7315055;Shanghai;113;9999
577;3;7315056;Sichuan;113;9999
578;3;7315057;Dongbei;113;9999
579;3;7315058;Hot Pot;113;9999
580;3;7315059;Taiwanese;113;9999
581;3;7315060;Western & Continental;113;9999
582;3;7315061;Peruvian;113;9999
583;3;7315062;Asian(other);113;9999
584;3;7315063;Creole-Cajun;113;9999
585;3;7315064;Soul Food;113;9999
586;3;7315065;Irish;113;9999
587;3;7315066;Jamaican;113;9999
588;3;7315067;Kosher;113;9999
589;3;7315068;Czech;113;9999
590;3;7315069;Hamburgers;113;9999
591;3;7315070;Chicken;113;9999
592;3;7315071;Fusion;113;9999
593;3;7315072;Brazilian;113;9999
594;3;7315073;International;113;9999
595;3;7315074;Moroccan;113;9999
596;3;7315075;Organic;113;9999
597;3;7315076;Tapas;113;9999
598;3;7315078;Ice Cream Parlor;113;9999
599;3;7315079;Doughnuts;113;9999
600;3;7315080;Slovak;113;9999
601;3;7315081;Afghan;113;9999
602;3;7315082;Algerian;113;9999
603;3;7315083;Arabian;113;9999
604;3;7315084;Argentinean;113;9999
605;3;7315085;Armenian;113;9999
606;3;7315086;Australian;113;9999
607;3;7315087;Basque;113;9999
608;3;7315088;Bolivian;113;9999
609;3;7315089;Bosnian;113;9999
610;3;7315090;Bulgarian;113;9999
611;3;7315091;Burmese;113;9999
612;3;7315092;Cambodian;113;9999
613;3;7315093;Chilean;113;9999
614;3;7315094;Colombian;113;9999
615;3;7315095;Corsican;113;9999
616;3;7315096;Cuban;113;9999
617;3;7315097;Cypriot;113;9999
618;3;7315098;Danish;113;9999
619;3;7315099;Dominican;113;9999
620;3;7315100;Egyptian;113;9999
621;3;7315101;English;113;9999
622;3;7315102;Ethiopian;113;9999
623;3;7315104;Finnish;113;9999
624;3;7315105;Iranian;113;9999
625;3;7315106;Israeli;113;9999
626;3;7315107;Luxembourgian;113;9999
627;3;7315108;Maghrib;113;9999
628;3;7315109;Mauritian;113;9999
629;3;7315110;Mongolian;113;9999
630;3;7315111;Nepalese;113;9999
631;3;7315112;Norwegian;113;9999
632;3;7315113;Savoyan;113;9999
633;3;7315114;Scandinavian;113;9999
634;3;7315115;Scottish;113;9999
635;3;7315116;Sicilian;113;9999
636;3;7315117;Slavic;113;9999
637;3;7315118;Sudanese;113;9999
638;3;7315119;Swedish;113;9999
639;3;7315120;Syrian;113;9999
640;3;7315121;Teppanyakki;113;9999
641;3;7315122;Tibetan;113;9999
642;3;7315123;Tunisian;113;9999
643;3;7315124;Uruguayan;113;9999
644;3;7315125;Venezuelan;113;9999
645;3;7315126;Welsh;113;9999
646;3;7315127;Pakistani;113;9999
647;3;7315129;Polynesian;113;9999
648;3;7315130;Provençal;113;9999
649;3;7315131;Rumanian;113;9999
650;3;7315132;Erotic;113;9999
651;3;7315133;Exotic;113;9999
652;3;7315134;Fondue;113;9999
653;3;7315135;Macrobiotic;113;9999
654;3;7315136;Mussels;113;9999
655;3;7315139;Snacks;113;9999
656;3;7315140;Soup;113;9999
657;3;7315142;Buffet;113;9999
658;3;7315143;Salad Bar;113;9999
659;3;7315145;Take away;113;9999
660;3;7315146;Banquet Rooms;113;9999
661;3;7315147;Cafeterias;113;9999
662;3;7315148;Sushi;113;9999
663;3;7315149;Yogurt/Juice Bar;113;9999
664;3;9376001;Unspecified;114;9999
665;3;9376002;Café;114;9999
666;3;9376003;Pub;114;9999
667;3;9376004;Internet Café;114;9999
668;3;9376005;Tea House;114;9999
669;3;9376006;Coffee Shop;114;9999
670;3;9376007;Microbrewery/Beer Garden;114;9999
