#ID;country;language;name;postcode;full address;tel;lon;lat;entry lon;entry lat;fax;e-mail;URL;state;city;subcity;street;hno;facility
49;IDN;IND;Tunas Toyota Jatinegara;;Jl. Jatinegara Timur No. 51, Jakarta 13310;(021) 8199736 (Hunting);106.867999;-6.219172;;;(021) 8191921;;;;;;;;
50;IDN;IND;Tunas Toyota Latumenten;;Komp. Central Latumenten Blok AA 31 Jln Latumenten No. 50, Jakarta Barat;(021) 56966327;106.793085;-6.153534;;;(021) 56965328;;;;;;;;
51;IDN;IND;Tunas Toyota Bintaro;;JL. R.C. Veteran No.24 Bintaro, Jakarta 12330;(021) 7350555 (Hunting);106.768057;-6.259682;;;(021) 7350314;;;;;;;;
52;IDN;IND;Tunas Toyota Kebayoran Lama;;Jl. Raya Kebayoran Lama No.38, Jakarta;(021) 5320555  (Hunting);106.783139;-6.207949;;;(021) 5494370;;;;;;;;
53;IDN;IND;Tunas Toyota Mampang;;Jl. Mampang Prapatan 83-85, Jakarta 12790;(021) 7987480 (Hunting) 7995812;106.826674;-6.249323;;;(021) 7989047;;;;;;;;
54;IDN;IND;Tunas Toyota Ciputat;;Jl. Dewi Sartika 187, Ciputat, Jakarta 15411;(021) 7490724 -26 (Hunting);106.746409;-6.319329;;;(021) 7491679;;;;;;;;
55;IDN;IND;Tunas Toyota Pasar Minggu;;Jl. Raya Pasar Minggu No.7, Jakarta 12520;(021) 7940777 (Hunting);106.843003;-6.261636;;;(021) 7942178;;;;;;;;
56;IDN;IND;Tunas Toyota Cinere;;Jl. Cinere Raya  Blok A, No 46;(021) 7540108  (Hunting);106.784105;-6.330707;;;(021) 7540118;;;;;;;;
57;IDN;IND;Tunas Toyota Tangerang;;Jl. Merdeka No.80, Cimone, Tangerang 15114;(021) 5524986 (Hunting);106.619007;-6.185035;;;(021) 5523134;;;;;;;;
58;IDN;IND;Tunas Toyota Serang;;Jl. Jend. Sudirman No. 1A Serang - Banten;(0254) 217010/223712;106.171185;-6.119857;;;(0254)215191;;;;;;;;
59;IDN;IND;Tunas Toyota Cilegon;;Jl. Raya Cilegon Km.14  - Cilegon 42422;(0254) 394789, 394777  (Hunting);106.078998;-6.0321;;;(0254) 391580;;;;;;;;
60;IDN;IND;Plaza Toyota Pemuda;;Jl.. Pemuda No. 61 Kav. 9 - 19, Rawamangun, Jakarta;(021) 4899015 (Hunting);106.626962;-6.246633;;;(021) 489 9012;;;;;;;;
61;IDN;IND;Plaza Toyota Green Garden;;Jl. Panjang No. 25, Kedoya Utara, Jakarta Barat;(021) 58302555 (Hunting) 5828528;106.765421;-6.172662;;;(021) 582 8531;;;;;;;;
62;IDN;IND;Plaza Toyota Kyai Tapa;;Jl. Kyai Tapa No. 263, Grogol, Jakarta Barat 10101;(021) 56978118/5671701/56966721 (Hunting);106.796006;-6.166625;;;(021) 56978020;;;;;;;;
63;IDN;IND;Akastra Motor;;Jl. Raya Kebayoran Lama No.26, Palmerah VII, Jakarta 11540;(021) 5347177 (Hunting);106.780878;-6.213047;;;(021) 5303661;;;;;;;;
64;IDN;IND;Plaza Toyota Tendean;;Jl. Kapt. Tendean No. 9A, Jakarta Selatan 12710;(021) 52901818 (Hunting);106.827138;-6.239858;;;(021) 52892281;;;;;;;;
65;IDN;IND;Anzon Autoplaza;;Jl. Jend. Achmad Yani No.89 - Pontianak, 78123;(0561) 734280, 738274, 735836   (Hunting);109.346355;-0.052547;;;(0561) 735836;;;;;;;;
66;IDN;IND;Anzon Autoplaza;;Jl. Jend. Achmad Yani no 8 Singkawang;(0562) 637000 (Hunting);;;;;(0562) 631406;;;;;;;;
67;IDN;IND;AUTO 2000 Karawang;;Jl. Surokunto 36, Karawang 41313;(0267) 412000 (Hunting);107.322067;-6.315826;;;(0267) 402570;;;;;;;;
68;IDN;IND;AUTO 2000 Bogor;;Jl. Siliwangi 76, Bogor 16720;(0251) 342000 (Hunting);106.824931;-6.631977;;;(0251) 384213;;;;;;;;
69;IDN;IND;PT Setiajaya Mobilindo - Bogor;;Jl. Raya Pajajaran, PO BOX 371;(0251) 316100, 316200, 316300, 316700, 316800, 316900;106.805994;-6.579944;;;(0251) 316500;;;;;;;;
70;IDN;IND;PT. Setiajaya Mobilindo - Cibubur;;Jl. Raya Alternatif Cibubur;(021) 84591773 (Hunting) 84598989;106.912998;-6.375473;;;(021) 84599090;;;;;;;;
71;IDN;IND;AUTO 2000 Cibinong;;Jl. Raya Bogor Km.43, Cibinong - Bogor;(021) 87912000 (Hunting);106.861999;-6.470718;;;(021) 8753822, 87906610;;;;;;;;
72;IDN;IND;Auto2000 Bogor Yasmin;;Jl. Soleh Iskandar No.9 Yasmin, Bogor Jawa Barat;(0251) 362000 (Hunting);106.777676;-6.556615;;;(0251) 352237;;;;;;;;
73;IDN;IND;AUTO 2000 Pasteur;;Jl. Dr. Djundjunan No. 192, Bandung 40163;(022) 2000100  (Hunting);107.581847;-6.892552;;;(022) 2000400;;;;;;;;
74;IDN;IND;AUTO 2000 Asia-Afrika;;Jl. Asia Afrika 125, Bandung 40223;(022) 4242000 (Hunting), 4234305;107.614986;-6.921935;;;(022) 4221614;;;;;;;;
75;IDN;IND;AUTO 2000 Soekarno-Hatta;;Jl. Soekarno-Hatta No. 145, Bandung, 40223;(022) 6022000 (Hunting) 6078070;107.579994;-6.937322;;;(022) 6031559;;;;;;;;
76;IDN;IND;AUTO 2000 Setiabudi;;Jl. Dr. Setiabudhi No. 184 A Bandung;(022) 2034457 (Hunting);107.594765;-6.872191;;;(022) 2039680;;;;;;;;
77;IDN;IND;Tunas Toyota Gatot  Subroto;;Jl Gatot Subroto No. 109-111 Bandung;(022)7312994 (Hunting);107.625999;-6.923751;;;(022) 731 2873;;;;;;;;
78;IDN;IND;Wijaya Toyota;;Jl. Jend. A. Yani 336 - 338  Bandung;(022) 7103388, 7274074 (Hunting);107.635004;-6.913161;;;(022) 7104333;;;;;;;;
79;IDN;IND;PD Merdeka Motor Mandiri;;Jl. Terusan Kiara Condong 47;(022) 7305668 (Hunting);107.642009;-6.944476;;;(022) 7317224;;;;;;;;
80;IDN;IND;Tunas Toyota Cimindi;;Jl. Raya Cilember 276 Cimindi  - Bandung;(022) 6613838 (Hunting);107.557072;-6.890208;;;(022) 6613636;;;;;;;;
81;IDN;IND;Plaza Toyota Bandung;;Jl. Pelajar Pejuang 45 No. 103, Bandung;(022) 731 5555 (Hunting);107.625994;-6.932037;;;(022) 731 5500;;;;;;;;
82;IDN;IND;Auto2000 Cibiru;;Jl. Sukarno Hatta no 759, Cibiru, Bandung, Jawa Barat.;(022)-7802000 (Hunting);107.714571;-6.934984;;;(022)7807766;;;;;;;;
83;IDN;IND;AUTO 2000 Cirebon;;Jl. Brigjen Darsono 14,By Pass, Cirebon 45135;(0231) 232000 (Hunting);108.538017;-6.72279;;;(0231) 204555;;;;;;;;
84;IDN;IND;PT. Rejeki Jaya Makmur Sentosa;;Jl. Otista No.88, Plered Weru Cirebon;(0231) 324500 (Hunting);108.502237;-6.703555;;;(0231) 325221;;;;;;;;
85;IDN;IND;PT Duta Cendana Mobilindo;;Jl. Arief Rachman Hakim No.17 Cianjur;(0263) 263888, 264205, 263266;107.149116;-6.81233;;;(0263) 263999;;;;;;;;
86;IDN;IND;PT Selamat Lestari Mandiri;;Jl Jend. Sudirman No. 76, Sukabumi;(0266) 239000, 23999, 236666;106.922201;-6.923975;;;(0266) 222354;;;;;;;;
87;IDN;IND;PT Selamat Lestari Mandiri;;Jl. AR Hakim No.43 Sukabumi 43132;(0266) 221800, 224976;106.917008;-6.920351;;;;;;;;;;;
88;IDN;IND;PT. Setiajaya Mobilindo Depok;;Jl. Margonda 348, Depok;(021) 7520034,7520243, 7520342, 7776817;106.830078;-6.380287;;;(021) 77203434;;;;;;;;
89;IDN;IND;PD Sinar Mas;;Jl. KH Zaubak Mustofa 294, Tasikmalaya 46125;(0265) 324840, 331023, 331024;108.218;-7.33566;;;(0265) 333023;;;;;;;;
90;IDN;IND;PT.  Rejeki Jaya Makmur Sentosa;;Jl. May. Abdul Rachman 130, Sumedang 45322;(0261) 201527, 201953;106.812708;-6.617789;;;(0261) 201720;;;;;;;;
91;IDN;IND;Budi Jaya Mobilindo;;Jl. Cimanuk 303, Garut 44151;(0262) 232505, 232606, 236707;106.741122;-6.349389;;;(0262) 232808;;;;;;;;
92;IDN;IND;AUTO 2000 Basuki Rachmat;;Jl. Basuki Rachmat 115-117, Surabaya, 60271;(031) 5452000 (Hunting);112.741487;-7.269109;;;(031) 5342060;;;;;;;;
93;IDN;IND;AUTO 2000 A. Yani;;Jl. Jend. Ahmad Yani No. 210, Surabaya 60235;(031) 8282000 (Hunting);112.731793;-7.326543;;;(031) 8287656;;;;;;;;
94;IDN;IND;AUTO 2000 Pecindilan;;Jl. Pecindilan 42, Surabaya 60273;(031) 3762000 (Hunting);112.749753;-7.248832;;;(031) 3770136;;;;;;;;
95;IDN;IND;AUTO 2000 Waru;;Jl. Raya Waru Km. 15, Surabaya 61256;(031) 8532000 (Hunting);112.729996;-7.366641;;;(031) 8532575;;;;;;;;
96;IDN;IND;AUTO 2000 Soengkono;;Jl. HR Mohammad No.73, Surabaya;(031) 7312000 (Hunting);112.692301;-7.283873;;;(031) 7314000;;;;;;;;
97;IDN;IND;AUTO 2000 Jemur sari;;Jl. Raya Jemur Sari No. 215, Surabaya 60292;(031) 8492000 (Hunting)  / 8420077;112.750317;-7.323883;;;(031) 8420079;;;;;;;;
98;IDN;IND;AUTO 2000 Kertajaya;;Jl. Kertajaya Indah Timur No 35 Surabaya;(031) 5952000 (Hunting);112.780993;-7.283069;;;(031) 5931881;;;;;;;;
99;IDN;IND;PT Liek Motor Surabaya;;Jl. Walikota Mustajab 2-4;(031) 5319393, 5325353, 5325454, 5324444,5352976;112.745886;-7.260395;;;(031) 5352976;;;;;;;;
100;IDN;IND;Auto 2000 Kenjeran;;Jl. Raya Kenjeran 522 - 524, Kalijudan, Surabaya;(031) 3822000 (Hunting);112.784945;-7.250069;;;(031) 3823737;;;;;;;;
101;IDN;IND;PT. Liek Motor Indrapura;;Jl. Indrapura 47 -49A, Surabaya;(031) 3538999 (Hunting);112.731005;-7.235695;;;(031) 3554767;;;;;;;;
102;IDN;IND;Asri Motor;;Jl. Jenggolo No. 52, Sidoarjo;(031) 8921904, 8941403;112.719799;-7.442042;;;(031) 8921904;;;;;;;;
103;IDN;IND;PT. Liek Motor Mojokerto;;Jl. Raya by pass Mojokerto km. 47, Mojokerto;(0321) 392888 (Hunting);112.459777;-7.467377;;;(0321) 399089;;;;;;;;
104;IDN;IND;Auto 2000 Kediri;;Jl. Hasanudin No. 2A Kediri 64121;(0354) 692000 (Hunting);112.014893;-7.811527;;;(0354) 699996, 693638;;;;;;;;
105;IDN;IND;AUTO 2000 Jember;;Jl. Hayam Wuruk 34, Jember 68135;(0331) 422000 (Hunting);113.668005;-8.183703;;;(0331) 487284;;;;;;;;
106;IDN;IND;AUTO 2000 Malang;;Jl. Letjen Soetojo 25, Malang 65141;(0341) 472000 (Hunting);112.62557;-7.947177;;;(0341) 491003;;;;;;;;
107;IDN;IND;AUTO 2000 Malang II (Supriyadi);;Jl. Supriadi 35 Malang;(0341) 352000 (Hunting);112.622188;-7.990215;;;(0341) 335658;;;;;;;;
108;IDN;IND;CV Kartika Sari Motor;;Jl. Puncak Borobudur No.1 Malang 65142;(0341) 479000, 326771, 361562, 323388,368700;112.621927;-7.934899;;;(0341) 480280;;;;;;;;
109;IDN;IND;PT. Arina Parama Jaya;;Jl. Veteran Km. 1 Gresik.;(031) 3979999 (Hunting);112.640909;-7.177142;;;(031) 3978888;;;;;;;;
110;IDN;IND;AUTO 2000 Denpasar;;Jl. HOS Cokroaminoto 81, Ubung, Denpasar 80116;(0361) 422000 (Hunting);115.200126;-8.632534;;;(0361) 4201333;;;;;;;;
111;IDN;IND;PT Krida Dinamik Autonusa;;Jl. A. Yani Km. 3 - Narmada;(0370) 672000/671656;116.14606;-8.578671;;;(0370) 634975;;;;;;;;
112;IDN;IND;AUTO 2000 Madiun;;Jl. HOS Cokroaminoto No.47, Madiun 63132;(0351) 492000 (Hunting), 494510;111.519993;-7.632346;;;(0351) 493573;;;;;;;;
113;IDN;IND;PT Auto Nusa Abadi;;Jl. Timor Raya No. 78;(0380) 831265, 824221, 822000, 824676,821044;123.601998;-10.152202;;;(0380) 824220;;;;;;;;
114;IDN;IND;AUTO 2000 Balikpapan I;;Jl. Jend Sudirman 29, Balikpapan 76113;(0542) 732000 (Hunting);116.840972;-1.259917;;;(0542) 734011;;;;;;;;
115;IDN;IND;AUTO 2000 Balikpapan II;;Jl. MT Haryono 189,  Balikpapan 76114;(0542) 876800 (Hunting);116.867987;-1.25734;;;(0542) 876810;;;;;;;;
116;IDN;IND;CV Serba Mulia Abadi;;Jl.  P.Antasari Rt I/22;(0541) 735155,732184, 741643, 743865;117.126936;-0.488604;;;(0541) 743021;;;;;;;;
117;IDN;IND;CV Sumber Harapan;;Jl. Sudirman no. 102;(0551) 21567, 21678 (Hunting);116.840216;-1.260687;;;(0551) 51489;;;;;;;;
118;IDN;IND;PT Wira Megah Profitamas;;Jl. Jen. A. Yani  km. 10 No.10 Rt.2, Kertak Hanyar, Banjar 70233;(0511) 3272000, 3260909 (Hunting);114.615579;-3.334184;;;(0511) 3263000;;;;;;;;
119;IDN;IND;PT Wira Megah Profitamas;;Jl. Tjilik Riwut km 5, no 2 , RT01 RW08 Kel. Bukit Tunggal, Kec. Jekan Raya Palangkaraya 73112;(0536) 3232000 (Hunting);113.891661;-2.184296;;;(0536) 3233000;;;;;;;;
120;IDN;IND;PT. Dunia Barusa;;Jl. Merdeka 76, Lhokseumawe 24319;(0645) 45000 (Hunting);97.129386;5.174248;;;(0645) 43317;;;;;;;;
121;IDN;IND;AUTO 2000 Sisingamangaraja;;Jl. Sisingamangaraja 8, Medan 20217;(061) 7362000 (Hunting), 713388;98.698658;3.547763;;;(061) 7362300;;;;;;;;
122;IDN;IND;AUTO 2000 Gatot Subroto;;Jl. Gatot Subroto No. 220, Medan 20217;(061) 8452000 (Hunting);98.639502;3.591318;;;(061) 8461719;;;;;;;;
123;IDN;IND;PT Perintis Perkasa;;Jl. Jen. Gatot Subroto 130 A-E;(061) 4553888, 4156556 (Hunting);98.633993;3.591543;;;(061) 4156556;;;;;;;;
124;IDN;IND;Deltamas Surya Indah Mulia;;Jl. Balaikota No. 2A , Medan 20111;(061) 4525555 (Hunting);98.676769;3.597247;;;(061) 4520085;;;;;;;;
125;IDN;IND;Auto 2000 Amplas;;Jl. Sisingamangaraja Km. 9,8 Amplas - Medan;(061) 7852000 (Hunting);98.722543;3.534463;;;(061)7851317;;;;;;;;
126;IDN;IND;Sutan Indo Aneka;;Jl. Medan Km. 2,8 Pematang Siantar;(0622) 432000 (Hunting);99.0798;2.978948;;;(0622) 435101,24267;;;;;;;;
127;IDN;IND;AUTO 2000 Padang;;Jl. Khatib Sulaiman, Ulak Karang, Padang 25135;(0751) 7052000  (Hunting);100.354914;-0.909059;;;(0751) 7051396;;;;;;;;
128;IDN;IND;PT Intercom;;Jl. Purus II No. 8, Padang;(0751) 32557, 33527, 25803, 33479  (Hunting);100.352833;-0.939576;;;(0751) 36674,32988;;;;;;;;
129;IDN;IND;AUTO 2000  Hadji Mena;;Jl. Raya Hadji Mena No. 2000, Natar, Lampung Selatan;(0721) 782000 (Hunting);105.242889;-5.265872;;;(0721) 708788;;;;;;;;
130;IDN;IND;AUTO 2000  Raden Intan;;Jl. Raden Intan 61-A, Tanjungkarang 35111;(0721) 252000 (Hunting);105.258698;-5.417084;;;(0721) 264923;;;;;;;;
131;IDN;IND;AUTO 2000 Veteran;;Jl. Veteran  6857, Palembang 30126;(0711)  352000 (Hunting);104.760011;-2.975222;;;(0711) 312000;;;;;;;;
132;IDN;IND;AUTO 2000 A. Yani;;Jl. Jend. A. Yani No.5502, Palembang;(0711)  512000  (Hunting);104.773095;-2.997524;;;(0711) 512943;;;;;;;;
133;IDN;IND;Tunas Autograha;;Jl. Perintis kemerdekaan  No. 8 (depan gudang dolog);(0711)718708, 717979  (Hunting);104.771643;-2.975461;;;(0711)711819;;;;;;;;
